municipio,codigo_ibge,codigo_tom,uf
Água Comprida,3100708,4013,MG
Araguari,3103504,4069,MG
Araporã,3103751,2903,MG
Cachoeira Dourada,3109808,4195,MG
Campina Verde,3111101,4221,MG
Campo Florido,3111408,4227,MG
Canápolis,3111804,4235,MG
Capinópolis,3112604,4251,MG
Carneirinho,3114550,2685,MG
Cascalho Rico,3115003,4299,MG
Centralina,3115805,4315,MG
Comendador Gomes,3116902,4337,MG
Conceição das Alagoas,3117306,4345,MG
Conquista,3118205,4363,MG
Delta,3121258,0602,MG
Fronteira,3127008,4539,MG
Frutal,3127107,4541,MG
Gurinhatã,3129103,4581,MG
Indianópolis,3130705,4613,MG
Ipiaçu,3131406,4627,MG
Itapagipe,3133402,4667,MG
Ituiutaba,3134202,4683,MG
Iturama,3134400,4687,MG
Limeira do Oeste,3138625,2687,MG
Monte Alegre de Minas,3142809,4855,MG
Pirajuba,3150703,5013,MG
Planura,3151602,5031,MG
Prata,3152808,5055,MG
Santa Vitória,3159803,5195,MG
São Francisco de Sales,3161304,5225,MG
Tupaciguara,3169604,5391,MG
Uberaba,3170107,5401,MG
Uberlândia,3170206,5403,MG
União de Minas,3170438,0742,MG
Veríssimo,3171105,5423,MG
